Global rank,Global rank preyear,Company,Country,Sector,Market value $m,Turnover $m,Net income $m,Total assets $m,Employees,Price $,P/e ratio,Dividend yield (%),Year End ,Country code,Sector code
301,362,Delta Air Lines,US,Travel & leisure,37059.3,40362,659,49801,79655,45,57.6,0.7,12/31/2014,0,27
302,324,Adobe Systems,US,Software & computer services,36989.9,4147.1,268.4,10786.1,12499,73.9,,,11/28/2014,0,3
303,336,DBS Group,Singapore,Banks,36802.6,N/R,3051.3,332134.5,21000,14.8,12.1,3,12/31/2014,27,4
304,,American Airlines,US,Travel & leisure,36769.2,42650,2882,43771,113300,52.8,13.4,0.4,12/31/2014,0,27
305,313,Reed Elsevier,Netherlands/UK,Media,36747.9,9001.6,1496.9,17287.4,28500,17.2,25.7,2.4,12/31/2014,12,15
306,380,Reynolds American,US,Tobacco,36661,8471,1470,15196,5400,68.9,25.1,3.9,12/31/2014,0,22
307,317,Ace,US,Nonlife insurance,36495.4,N/R,2853,97953,21000,111.5,13.2,2.3,12/31/2014,0,2
308,260,Prudential Financial,US,Life insurance,36475.5,N/R,1367,766655,48331,80.3,24.9,2.7,12/31/2014,0,16
309,339,China Unicom,Hong Kong,Mobile telecommunications,36447,46146,1954.1,86826,228270,1.5,19,2,12/31/2014,3,6
310,302,Illinois Tool Works,US,Industrial engineering,36264.6,14484,2946,17377,49000,97.1,13.3,1.9,12/31/2014,0,31
311,429,Kweichow Moutai,China,Beverages,36096.9,4881,2473.3,10481.8,17487,31.6,14.6,2.2,12/31/2014,1,14
312,297,Swiss RE,Switzerland,Nonlife insurance,35915.4,N/R,3233.5,191393.7,12224,96.9,10.3,7.5,12/31/2014,2,2
313,312,BCE,Canada,Fixed line telecommunications,35621.4,18108.5,2151.5,39703.3,57234,42.3,16.5,5,12/31/2014,17,13
314,354,Alexion Pharmaceuticals,US,Pharmaceuticals & biotechnology,35032.3,2233.7,656.9,4167,2273,173.3,53.2,,12/31/2014,0,5
315,346,Stryker,US,Health care equipment & services,34960.6,9675,515,17674,26000,92.3,68.3,1.4,12/31/2014,0,23
316,,CSR,China,Industrial engineering,34953.6,19000.5,856.4,24074.7,88925,1.3,22,,12/31/2014,1,31
317,265,Praxair,US,Chemicals,34847,12273,1694,19704,27780,120.7,21.1,2.2,12/31/2014,0,18
318,357,Travelers Cos.,US,Nonlife insurance,34749.6,N/R,3665,103045,30200,108.1,10.1,2,12/31/2014,0,2
